Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area
53,2015,2021,1,6,40,4,0,CBD,CBD
27,2006,2021,1,15,25,2,0,CBD,CBD
49,2013,2021,1,8,50,5,0,CBD,CBD
71,2005,2021,1,16,75,3,0,CBD,CBD
22,1980,2021,1,41,30,1,0,CBD,CBD
47,1981,2021,1,40,60,4,0,CBD,CBD
170,2014,2021,1,7,65,3,0,CBD,CBD
44,2012,2021,1,9,35,2,0,CBD,CBD
56,2003,2021,1,18,60,6,0,CBD,CBD
18,1982,2021,1,39,25,2,0,CBD,CBD
15,1982,2021,1,39,25,2,0,CBD,CBD
45,2007,2021,1,14,40,2,0,CBD,CBD
60,2006,2021,1,15,45,4,0,CBD,CBD
24,2005,2021,1,16,25,1,0,CBD,CBD
31,2000,2021,1,21,30,3,0,CBD,CBD
31,2005,2021,1,16,30,6,0,CBD,CBD
23,1977,2021,1,44,25,6,0,CBD,CBD
140,2004,2021,1,17,90,1,0,CBD,CBD
65,2004,2021,1,17,45,1,0,CBD,CBD
85,2012,2021,1,9,60,4,0,CBD,CBD
110,2013,2021,1,8,55,3,0,CBD,CBD
110,2013,2021,1,8,45,3,0,CBD,CBD
190,2013,2021,1,8,80,3,0,CBD,CBD
60,2002,2021,1,19,55,5,0,CBD,CBD
81,2008,2021,1,13,65,7,0,CBD,CBD
80,1998,2021,1,23,65,5,0,CBD,CBD
85,2013,2021,1,8,60,2,0,CBD,CBD
47,2012,2021,1,9,45,5,0,CBD,CBD
48,2015,2021,1,6,40,2,0,CBD,CBD
76,2015,2021,1,6,60,2,0,CBD,CBD
59,2005,2021,1,16,65,3,0,CBD,CBD
69,2012,2021,1,9,60,2,0,CBD,CBD
40,1985,2021,1,36,35,3,0,CBD,CBD
95,2003,2021,1,18,65,4,0,CBD,CBD
56,2012,2021,1,9,45,4,0,CBD,CBD
46,1984,2021,1,37,45,1,0,CBD,CBD
61,1981,2021,1,40,65,1,0,CBD,CBD
70,2010,2021,1,11,55,2,0,CBD,CBD
58,2016,2021,1,5,45,2,0,CBD,CBD
45,2004,2021,1,17,55,1,0,CBD,CBD
58,2016,2021,1,5,45,2,0,CBD,CBD
93,2010,2021,1,11,70,6,0,CBD,CBD
73,2004,2021,1,17,60,5,0,CBD,CBD
30,2014,2021,1,7,25,5,0,CBD,CBD
100,2013,2023,1,10,75,4,1,CBD,CBD
98,2013,2023,1,10,55,10,1,CBD,CBD
50,2013,2023,1,10,35,3,1,CBD,CBD
55,2015,2023,1,8,45,4,1,CBD,CBD
22,1980,2023,1,43,30,2,1,CBD,CBD
41,1973,2023,1,50,55,3,1,CBD,CBD
130,2017,2023,1,6,65,3,1,CBD,CBD
230,2009,2023,1,14,80,1,1,CBD,CBD
160,2014,2023,1,9,75,3,1,CBD,CBD
150,2009,2023,1,14,70,2,1,CBD,CBD
68,1980,2023,1,43,65,4,1,CBD,CBD
160,2003,2023,1,20,70,1,1,CBD,CBD
85,2018,2023,1,5,60,1,1,CBD,CBD
90,2018,2023,1,5,60,1,1,CBD,CBD
79,2018,2023,1,5,60,1,1,CBD,CBD
200,2017,2023,1,6,75,2,1,CBD,CBD
98,1981,2023,1,42,70,2,1,CBD,CBD
160,2015,2023,1,8,70,3,1,CBD,CBD
20,1982,2023,1,41,25,2,1,CBD,CBD
92,2001,2023,1,22,60,4,1,CBD,CBD
86,2015,2023,1,8,55,5,1,CBD,CBD
70,2003,2023,1,20,55,1,1,CBD,CBD
58,2018,2023,1,5,40,6,1,CBD,CBD
26,1985,2023,1,38,35,5,1,CBD,CBD
18,1981,2023,1,42,25,6,1,CBD,CBD
33,2001,2023,1,22,30,4,1,CBD,CBD
48,2012,2023,1,11,45,5,1,CBD,CBD
40,1984,2023,1,39,45,6,1,CBD,CBD
70,2005,2023,1,18,70,2,1,CBD,CBD
100,2018,2023,1,5,75,4,1,CBD,CBD
69,2006,2023,1,17,60,5,1,CBD,CBD
32,2007,2023,1,16,30,4,1,CBD,CBD
50,2013,2023,1,10,35,3,1,CBD,CBD
23,1977,2023,1,46,35,4,1,CBD,CBD
60,2007,2023,1,16,40,4,1,CBD,CBD
210,2003,2023,1,20,90,4,1,CBD,CBD
55,1982,2023,1,41,50,3,1,CBD,CBD
140,2003,2023,1,20,70,4,1,CBD,CBD
27,1982,2023,1,41,30,1,1,CBD,CBD
94,1982,2023,1,41,75,4,1,CBD,CBD
100,1982,2023,1,41,80,3,1,CBD,CBD
59,2000,2023,1,23,60,7,1,CBD,CBD
19,1980,2023,1,43,25,4,1,CBD,CBD
93,2018,2023,1,5,60,2,1,CBD,CBD
97,2016,2023,1,7,65,2,1,CBD,CBD
