項番,路線,駅ナンバー,駅名,よみ,英語名,駅管理者,住所,高さ1,高さ2,高さ1備考,高さ2備考,情報更新日
1,浅草線,A-01,西馬込,にしまごめ,Nishi-magome,東京都交通局,東京都大田区西馬込2-1-6,-9.0m,,,,2015/10/1
2,浅草線,A-02,馬込,まごめ,Magome,東京都交通局,東京都大田区北馬込2-31-9,-12.7m,,,,2015/10/1
3,浅草線,A-03,中延,なかのぶ,Nakanobu,東京都交通局,東京都品川区東中延2-9-12,-11.0m,,,,2015/10/1
4,浅草線,A-04,戸越,とごし,Togoshi,東京都交通局,東京都品川区戸越3-4-17,-11.0m,,,,2015/10/1
5,浅草線,A-05,五反田,ごたんだ,Gotanda,東京都交通局,東京都品川区東五反田1-26-2,-12.1m,,,,2015/10/1
6,浅草線,A-06,高輪台,たかなわだい,Takanawadai,東京都交通局,東京都港区白金台2-26-7先,-18.2m,,,,2015/10/1
7,浅草線,A-07,泉岳寺,せんがくじ,Sengakuji,東京都交通局,東京都港区高輪2-16-34,-11.4m,,,,2015/10/1
8,浅草線,A-08,三田,みた,Mita,東京都交通局,東京都港区芝5-34-10,-12.5m,,,,2015/10/1
9,浅草線,A-09,大門,だいもん,Daimon,東京都交通局,東京都港区浜松町1-27-12,-7.9m,,,,2015/10/1
10,浅草線,A-10,新橋,しんばし,Shimbashi,東京都交通局,東京都港区新橋2-21-1先,-13.8m,,,,2015/10/1
11,浅草線,A-11,東銀座,ひがしぎんざ,Higashi-ginza,東京都交通局,東京都中央区銀座4-10-10先,-9.4m,,,,2015/10/1
12,浅草線,A-12,宝町,たからちょう,Takaracho,東京都交通局,東京都中央区京橋2-13-11先,-13.6m,,,,2015/10/1
13,浅草線,A-13,日本橋,にほんばし,Nihombashi,東京都交通局,東京都中央区日本橋1-13-1先,-12.9m,,,,2015/10/1
14,浅草線,A-14,人形町,にんぎょうちょう,Ningyocho,東京都交通局,東京都中央区日本橋人形町3-7-13,-15.6m,,,,2015/10/1
15,浅草線,A-15,東日本橋,ひがしにほんばし,Higashi-nihombashi,東京都交通局,東京都中央区東日本橋3-11-8先,-8.6m,,,,2015/10/1
16,浅草線,A-16,浅草橋,あさくさばし,Asakusabashi,東京都交通局,東京都台東区浅草橋1-18-11, -11.6m,,,,2015/10/1
