種類,価格情報区分,市区町村コード,都道府県名,市区町村名,地区名,最寄駅_名称,最寄駅_距離,取引価格,間取り,面積,建築年,建物の構造,都市計画,取引時期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,53000000,１ＬＤＫ,40,2015年,ＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,33000000,１Ｋ,30,2018年,ＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,2,27000000,１Ｋ,25,2006年,ＳＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,秋葉原,5,49000000,１ＬＤＫ,50,2013年,ＲＣ,,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,九段北,市ケ谷,3,71000000,２ＬＤＫ,75,2005年,鉄骨造,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,九段北,九段下,1,22000000,１Ｒ,30,1980年,ＳＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,九段北,市ケ谷,4,47000000,１ＬＤＫ,60,1981年,ＳＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,平河町,半蔵門,2,16000000,１Ｒ,20,1983年,ＲＣ,,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,平河町,半蔵門,3,110000000,２ＬＤＫ,65,2017年,ＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,富士見,飯田橋,3,170000000,１ＬＤＫ＋Ｓ,65,2014年,ＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,富士見,飯田橋,2,200000000,２ＬＤＫ,95,2009年,ＲＣ,商業,2021年第1四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,1,24000000,１Ｒ,25,2004年,ＳＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,49000000,１ＬＤＫ,40,2015年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,小伝馬町,2,79000000,１ＬＤＫ,55,2013年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,50000000,１ＬＤＫ,40,2016年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,小伝馬町,2,70000000,２ＬＤＫ,55,2013年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,44000000,１ＤＫ,35,2018年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,5,27000000,１Ｋ,25,2013年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,45000000,１ＬＤＫ,45,2015年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,小伝馬町,2,69000000,２ＬＤＫ,55,2013年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,神田富山町,神田(東京),4,37000000,１ＤＫ,45,2011年,ＳＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,平河町,半蔵門,2,16000000,１Ｒ,25,1980年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,富士見,飯田橋,2,96000000,１ＬＤＫ,60,2009年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,富士見,飯田橋,2,150000000,２ＬＤＫ,80,2009年,ＲＣ,商業,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,四番町,市ケ谷,3,230000000,３ＬＤＫ,105,2018年,ＲＣ,１種住居,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,四番町,市ケ谷,3,95000000,２ＬＤＫ,60,2018年,ＲＣ,１種住居,2021年第2四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,神田(東京),7,19000000,１Ｋ,25,2004年,ＳＲＣ,商業,2021年第3四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,秋葉原,7,19000000,１Ｒ,25,1985年,ＲＣ,商業,2021年第3四半期
中古マンション等,成約価格情報,13101,東京都,千代田区,岩本町,岩本町,4,42000000,１ＤＫ,35,2018年,ＲＣ,商業,2021年第3四半期
