Price,Size,District,Tenure,Distance,RoomNumber,RoomK,RoomD,RoomL,Kenpei,Youseki,Reform,year_2024
94,40,千代田区,3,3,1,1,1,0,60,400,0,1
100,65,千代田区,12,4,2,1,1,1,80,500,1,0
130,65,千代田区,21,4,2,1,1,1,80,500,0,1
98,65,千代田区,16,4,2,1,1,1,80,500,1,0
58,40,千代田区,7,3,1,1,1,1,80,500,0,0
330,95,千代田区,5,3,3,1,1,1,80,500,0,1
200,80,千代田区,23,3,2,1,1,1,80,500,0,1
430,105,千代田区,8,3,2,1,1,1,60,400,0,1
120,60,千代田区,45,1,2,1,1,1,80,600,1,1
120,80,千代田区,52,3,3,1,1,1,60,400,0,1
32,25,千代田区,6,1,1,1,0,0,80,500,0,0
29,25,千代田区,6,1,1,1,1,0,80,500,0,0
120,70,千代田区,15,3,2,1,1,1,80,500,0,0
35,25,千代田区,6,1,1,1,0,0,80,500,0,0
100,95,千代田区,35,1,3,1,1,1,80,600,0,0
26,20,千代田区,20,4,1,1,0,0,80,800,0,1
34,30,千代田区,18,3,1,1,0,0,80,500,1,1
25,20,千代田区,21,4,1,1,0,0,80,600,0,1
30,20,千代田区,18,2,1,1,0,0,80,700,0,1
32,20,千代田区,18,2,1,1,0,0,80,600,0,1
33,30,千代田区,6,4,1,1,0,0,80,600,0,0
29,20,千代田区,13,2,1,1,0,0,80,700,1,0
24,20,千代田区,15,1,1,1,0,0,80,700,0,0
17,25,千代田区,13,3,1,1,0,0,80,500,0,0
25,20,千代田区,13,2,1,1,0,0,80,700,0,0
24,20,千代田区,15,1,1,1,0,0,80,700,1,0
27,25,千代田区,5,6,1,1,0,0,80,600,0,0
32,25,千代田区,11,5,1,1,0,0,80,600,0,0
62,55,千代田区,7,6,2,1,1,1,80,600,0,0
23,20,千代田区,17,5,1,1,0,0,80,600,0,0
24,20,千代田区,17,5,1,1,0,0,80,600,0,0
25,20,千代田区,23,5,1,1,0,0,80,600,0,1
51,25,千代田区,2,4,1,1,0,0,80,800,0,1
220,75,千代田区,2,4,3,1,1,1,80,800,1,1
27,20,千代田区,17,5,1,1,0,0,80,600,0,1
120,50,千代田区,5,5,1,1,1,1,80,600,0,1
19,15,千代田区,45,6,1,0,0,0,80,700,1,1
15,15,千代田区,40,6,1,1,0,0,80,700,1,0
130,70,千代田区,6,3,2,1,1,1,80,600,0,0
200,100,千代田区,6,3,3,1,1,1,80,600,0,0
23,20,千代田区,19,4,1,1,0,0,80,500,0,0
11,15,千代田区,39,4,1,1,0,0,80,600,0,0
14,25,千代田区,39,3,1,0,0,0,80,600,0,0
16,15,千代田区,42,4,1,1,0,0,80,500,0,1
23,25,千代田区,15,4,1,1,0,0,80,600,0,0
54,45,千代田区,21,4,1,1,1,1,80,800,0,1
52,40,千代田区,1,5,1,1,1,1,80,600,0,0
22,20,千代田区,19,6,1,1,1,0,80,700,0,0
120,60,千代田区,8,5,2,1,1,1,80,600,1,1
130,55,千代田区,8,3,1,1,1,1,80,600,0,1
48,40,千代田区,15,6,2,1,1,0,80,600,0,1
36,25,千代田区,15,6,1,1,0,0,80,600,0,1
140,70,千代田区,6,5,2,1,1,0,80,600,1,1
27,20,千代田区,10,6,1,0,0,0,80,600,0,0
32,25,千代田区,6,4,1,1,0,0,80,500,0,0
30,25,千代田区,6,4,1,1,0,0,80,600,0,0
13,20,千代田区,41,3,1,1,0,0,80,500,0,0
17,20,千代田区,41,3,1,1,0,0,80,500,1,0
