Price,Tenure,DistanceStation,Size,Youseki,Kenpei,RoomNum,ZoneHouse,ZoneBusiness,ZoneFactory,RoomL,RoomD,StructureSRC,After,Reform,District,Nerima
26,10,4,25,400,80,1,0,1,0,0,0,0,1,0,文京区,0
33,3,4,25,500,80,1,0,1,0,0,0,0,1,0,文京区,0
16,35,5,20,300,60,1,0,0,1,0,0,0,1,1,文京区,0
48,39,5,60,600,80,3,0,1,0,1,1,1,1,1,文京区,0
19,18,10,20,400,80,1,0,1,0,0,0,0,1,1,文京区,0
60,20,2,55,500,80,1,0,1,0,1,1,1,0,1,文京区,0
27,16,6,20,600,80,1,0,1,0,0,0,0,1,1,文京区,0
89,8,8,65,400,60,3,0,0,1,1,1,0,1,0,文京区,0
110,8,7,70,400,60,3,0,0,1,1,1,0,1,1,文京区,0
69,9,2,50,300,80,2,0,1,0,1,1,0,1,0,文京区,0
14,35,5,20,600,80,1,0,1,0,0,0,1,1,0,文京区,0
22,19,5,20,600,80,1,0,1,0,0,0,1,0,1,文京区,0
18,17,3,15,300,80,1,0,1,0,0,0,0,0,0,文京区,0
23,17,3,20,300,80,1,0,1,0,0,0,0,0,0,文京区,0
59,36,5,65,600,80,2,0,1,0,1,1,1,1,1,文京区,0
37,43,0,40,600,80,1,0,1,0,1,1,1,1,1,文京区,0
53,7,1,50,600,80,1,0,1,0,1,1,0,0,0,文京区,0
47,28,5,50,400,80,2,0,1,0,1,1,0,0,1,文京区,0
18,33,8,30,600,80,1,0,1,0,0,1,1,0,0,文京区,0
24,18,9,20,400,80,1,0,1,0,0,0,0,1,0,文京区,0
39,41,13,60,200,60,3,1,0,0,1,1,0,0,0,文京区,0
88,7,8,70,600,80,3,0,1,0,1,1,0,0,0,文京区,0
64,27,9,75,600,80,2,0,1,0,1,1,0,0,0,文京区,0
120,12,4,80,600,80,3,0,1,0,1,1,0,1,0,文京区,0
120,12,4,75,600,80,3,0,1,0,1,1,0,1,1,文京区,0
53,25,9,70,300,60,3,0,0,1,1,1,0,1,0,文京区,0
96,12,4,65,600,80,2,0,1,0,1,1,0,1,0,文京区,0
20,18,7,15,300,60,1,0,0,1,0,0,0,1,1,文京区,0
84,24,6,75,600,80,3,0,1,0,1,1,1,1,0,文京区,0
73,19,3,55,300,60,2,0,0,1,1,1,1,1,0,文京区,0
27,40,4,35,300,60,1,0,0,1,1,1,0,0,1,文京区,0
38,35,4,45,600,80,1,0,1,0,1,1,1,0,0,文京区,0
74,22,6,65,600,80,3,0,1,0,1,1,1,0,1,文京区,0
130,1,2,70,600,80,3,0,1,0,1,1,0,1,0,文京区,0
23,16,11,25,600,80,1,0,1,0,0,0,0,1,1,文京区,0
70,25,8,55,300,60,2,1,0,0,0,1,0,1,1,文京区,0
75,7,0,60,600,80,2,0,1,0,0,1,0,0,0,文京区,0
23,15,7,20,400,60,1,0,0,1,0,0,0,0,0,文京区,0
70,29,3,65,400,60,2,1,0,0,1,1,0,1,0,文京区,0
70,23,5,50,600,80,2,0,1,0,1,1,1,1,0,文京区,0
25,11,9,20,400,60,1,0,0,1,0,0,0,0,0,文京区,0
73,14,4,50,600,80,1,0,1,0,1,1,0,1,0,文京区,0
12,14,1,20,600,80,1,0,1,0,0,0,0,1,0,文京区,0
73,4,6,50,150,60,2,1,0,0,1,1,0,0,0,文京区,0
16,31,5,20,300,60,1,0,0,1,0,0,0,1,0,文京区,0
31,7,4,25,300,60,1,0,0,1,0,0,0,1,0,文京区,0
19,19,3,20,300,80,1,0,1,0,0,0,0,1,0,文京区,0
34,0,12,25,300,60,1,1,0,0,0,0,0,1,0,文京区,0
39,0,12,30,300,60,1,1,0,0,0,0,0,1,0,文京区,0
67,5,5,55,300,60,1,0,0,1,1,1,0,1,0,文京区,0
18,22,6,20,300,60,1,0,0,1,0,0,1,1,1,文京区,0
21,13,8,20,300,60,1,0,0,1,0,0,0,0,0,文京区,0
90,29,3,105,300,80,4,0,1,0,1,1,1,0,1,文京区,0
51,1,4,50,300,60,2,0,0,1,1,1,0,0,1,文京区,0
41,5,4,45,300,60,2,0,0,1,1,1,0,0,0,文京区,0
50,17,6,65,300,60,2,0,0,1,1,1,0,0,0,文京区,0
21,30,8,35,300,60,1,0,0,1,1,1,0,0,0,文京区,0
48,41,12,55,300,60,2,1,0,0,1,1,1,1,0,文京区,0
58,7,1,50,500,80,2,0,1,0,1,1,0,1,0,文京区,0
93,17,7,110,400,60,3,1,0,0,1,1,0,1,1,文京区,0
30,12,2,20,500,80,1,0,1,0,0,0,0,1,0,文京区,0
79,22,0,65,500,80,3,0,1,0,1,1,1,1,0,文京区,0
29,10,2,20,500,80,1,0,1,0,0,0,0,0,0,文京区,0
60,18,1,55,500,80,2,0,1,0,1,1,1,0,1,文京区,0
23,11,6,20,400,60,1,1,0,0,1,1,0,0,0,文京区,0
64,5,1,65,500,80,3,0,1,0,1,1,0,0,0,文京区,0
23,18,7,25,400,60,1,1,0,0,0,0,0,0,0,文京区,0
