Title,Type
新型コロナ対策としてのマスク着用義務化――アメリカの政策評価と日本への示唆,一般
現状放置なら５月下旬に緊急事態宣言の恐れ,一般
接触確認アプリCOCOAを行動経済学で読み解く,一般
新型コロナ対策がもたらす効果の定量的分析～緊急事態宣言解除後のシナリオとは？～,一般
新型コロナ危機と経済政策,一般
感染症データにおける「従属性」と因果推論,一般
「疫学」と「マクロ経済学」の視点から ―最新論文に見る感染症対策と経済活動維持の最適解とは―,一般
コロナ危機は需要ショックなのか供給ショックなのか？,一般
コロナ危機の経済学 : 提言と分析,一般
新型コロナウイルスのマクロ経済学 (1) 感染症拡大防止政策のトレードオフ,一般
新型コロナウイルスのマクロ経済学 (2) 実体経済への影響と日本を含むG20先進国の政策対応,一般
特別号・新型コロナウィルス感染症の経済学,一般
コロナ禍の経済対策：社会的離隔・外部性・デジタル化,一般
新型コロナと経済活動：緊急事態宣言解除基準の考察,一般
コロナショックの経済学,一般
POSでみるコロナ禍の購買動向：品目分析編,一般
POSでみるコロナ禍の購買動向：業態分析編,一般
POSでみるコロナ禍の購買動向：家電量販店×地域分析編,一般
POSでみるコロナ禍の購買動向：食品・日用品×地域分析編,一般
POSでみるコロナ禍の購買動向：緊急事態宣言解除後編,一般
宿泊業・飲食サービス業への新型コロナの影響をどう軽減すべきか？,一般
新型コロナショックと東日本大震災に対する消費・物価の反応,一般
新型コロナ後の国際貿易,一般
金融円滑化法 コロナ危機で問われる事業性評価の力 : 金融円滑化法の教訓を生かせ,一般
【半歩先を読む経済教室】待ち受ける「コロナ対応で発生した債務処理」と「財政健全化」という2つの難題,一般
新型コロナウイルス対策特別会計(仮称)の設置を,一般
PCR検査体制の拡充と偽陽性の問題,一般
コロナワクチン接種開始：希望者の揺れる心にケアを,一般
新型コロナウイルスの感染拡大と妊娠・出産への影響 ~危機後のベビーブームは「都市伝説」なのか?~,一般
65歳未満を対象としたワクチン接種の大規模なRCTを行えないか？,一般
コロナ禍における医療機関への経済支援の在り方と今後の医療提供体制,一般
COVID-19ワクチンの配布計画とマッチング・マーケットデザイン,一般
新型コロナは教育格差にどのような影響を及ぼしたのか？,一般
コロナショックと教育・経済格差についての考察,一般
コロナ禍のもとでの小中学校の休校とICT利用：日英比較から,一般
COVID-19が求職・求人マッチングに及ぼす影響,一般
新型コロナ（COVID-19）危機が引き起こす格差の拡大,一般
新型コロナウイルス流行下（2020年2～9月）の企業業績と雇用―「第2回新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」二次分析―,一般
新型コロナ影響下の雇用減少と雇用調整速度の国際比較,一般
2～5月の新型コロナウイルス流行下の企業業績と採用・雇用維持―「新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」の二次分析―,一般
コロナショックの被害は女性に集中（続編）―雇用回復の男女格差―,一般
低い申請者割合にとどまるコロナ困窮者支援事業,一般
コロナショックの被害は女性に集中―働き方改革でピンチをチャンスに―,一般
新型コロナウイルスが関西のスポーツ関連産業に与える影響,一般
感染拡大を防ぐ行動制限のトレードオフ――Google位置情報と倒産履歴から探る経済的影響,一般
感染症の歴史,一般
感染症と経済学,一般
新型コロナ感染症拡大で考える東京への人口一極集中とコロナ後の変化,一般
コロナゲームはタカハトゲーム？,一般
緊急事態宣言、ステージIIまで継続を,専門
日本の新型コロナウイルス感染症拡大の現状と感染リスク,専門
HJKモデルに基づいたCOVID-19の経済的評価　ー日本における感染の第1期を対象としてー,専門
世代別・性別の 外出率とCOVID-19陽性者割合との関係,専門
新型コロナウイルス感染拡大に対応した外出抑制措置の影響～ビッグデータを活用した分析の現状～,専門
新型コロナウィルス感染症の予防行動へのナッジの効果：スマートフォン広告を用いた大規模無作為化対照実験から,専門
新型コロナウイルス危機のマクロ経済分析,専門
感染症拡大モデルにおける行動制限政策と検査隔離政策の比較,専門
所得循環から見た外出自粛下の日本経済,専門
コロナ禍における現金給付政策の有効性,専門
新型コロナ感染の政策課題と分析,専門
COVID-19に伴う消費者心理・行動変化に関するアンケート調査,専門
コロナ禍における現金給付の家計消費への影響,専門
日本人はコロナ禍をどのように過ごしたか？：消費ビッグデータによる購買行動分析,専門
新型コロナウィルス感染症拡大時の買い占め行動と消費者トラブル―消費者教育への示唆,専門
緊急事態措置実施期間中の家計消費支出の変化に伴う経済波及効果,専門
コロナ禍における家計の消費行動： 巣ごもり需要と買いだめ行動,専門
新型コロナ感染拡大に伴うサービス消費自粛の度合いをクレカ取引データから推計する方法,専門
