price,size,tenure,district,distance,reform,year
59,45,11,千代田区,2,0,0
120,55,2,千代田区,4,0,0
65,45,9,千代田区,3,0,0
45,35,20,千代田区,3,0,0
21,30,42,千代田区,2,0,0
30,45,48,千代田区,4,0,0
60,50,43,千代田区,3,0,0
32,35,45,千代田区,2,0,0
230,75,11,千代田区,6,0,0
86,50,29,千代田区,5,0,0
45,40,46,千代田区,3,0,0
52,35,5,千代田区,2,0,0
97,55,13,千代田区,2,0,0
64,40,8,千代田区,7,0,0
140,75,9,千代田区,5,0,0
140,55,22,千代田区,1,0,0
96,60,27,千代田区,2,0,0
170,75,22,千代田区,1,0,0
70,35,2,千代田区,2,0,0
100,55,25,千代田区,2,0,0
62,30,2,千代田区,2,0,0
62,30,2,千代田区,2,0,0
230,70,22,千代田区,1,0,0
180,70,22,千代田区,1,0,0
26,25,21,千代田区,2,0,0
44,35,18,千代田区,6,0,0
39,35,20,千代田区,6,0,0
73,40,10,千代田区,6,0,0
20,20,39,千代田区,4,0,0
98,70,23,千代田区,4,0,0
110,70,7,千代田区,2,0,0
110,70,7,千代田区,2,0,0
120,80,7,千代田区,1,0,0
80,40,8,千代田区,1,0,0
190,70,2,千代田区,3,0,0
120,80,44,千代田区,2,0,0
230,75,14,千代田区,2,0,0
150,90,38,千代田区,3,0,0
71,75,46,千代田区,2,0,0
90,55,40,千代田区,4,0,0
240,90,22,千代田区,5,0,0
250,75,17,千代田区,4,0,0
260,90,22,千代田区,3,0,0
18,15,53,千代田区,2,0,0
300,80,6,千代田区,4,0,0
280,105,26,千代田区,2,0,0
150,55,3,千代田区,4,0,0
31,25,20,千代田区,2,0,0
78,40,6,千代田区,5,0,0
130,60,10,千代田区,5,0,0
28,30,22,千代田区,2,0,0
44,30,22,千代田区,1,0,0
290,70,12,千代田区,3,0,0
240,65,12,千代田区,3,0,0
19,20,48,千代田区,1,0,0
18,15,50,千代田区,6,0,0
80,55,18,千代田区,5,0,0
31,25,25,千代田区,5,0,0
130,60,7,千代田区,6,0,0
42,30,19,千代田区,5,0,0
19,25,41,千代田区,9,0,0
47,35,4,千代田区,2,0,0
54,45,19,千代田区,5,0,0
27,25,21,千代田区,3,0,0
50,60,43,千代田区,3,0,0
140,75,11,千代田区,3,0,0
59,40,13,千代田区,5,0,0
55,35,12,千代田区,4,0,0
110,65,41,千代田区,1,0,0
140,55,22,千代田区,4,0,0
92,60,53,千代田区,2,0,0
52,45,61,千代田区,5,0,0
87,65,55,千代田区,1,1,0
130,85,53,千代田区,2,0,0
22,25,20,千代田区,4,0,0
99,50,15,千代田区,2,0,0
30,25,20,千代田区,5,0,0
83,55,12,千代田区,3,0,0
160,60,7,千代田区,5,0,0
50,25,7,千代田区,2,0,0
280,100,21,千代田区,3,0,0
110,60,3,千代田区,2,0,0
280,95,21,千代田区,5,0,0
270,120,48,千代田区,3,0,0
140,60,7,千代田区,5,0,0
53,60,38,千代田区,5,0,1
74,40,13,千代田区,3,0,1
43,25,6,千代田区,3,0,1
63,35,10,千代田区,3,0,1
110,70,27,千代田区,3,0,1
34,30,49,千代田区,3,0,1
190,60,8,千代田区,3,0,1
65,45,42,千代田区,2,0,1
400,75,12,千代田区,3,1,1
270,75,1,千代田区,5,0,1
170,60,18,千代田区,1,0,1
60,45,18,千代田区,6,0,1
75,45,9,千代田区,5,0,1
69,35,7,千代田区,5,0,1
130,70,26,千代田区,4,0,1
76,50,20,千代田区,5,0,1
70,35,12,千代田区,2,0,1
56,40,28,千代田区,2,0,1
48,35,17,千代田区,2,0,1
220,70,23,千代田区,1,0,1
77,35,19,千代田区,3,0,1
240,70,23,千代田区,1,0,1
200,75,23,千代田区,1,0,1
110,55,26,千代田区,2,0,1
40,40,42,千代田区,2,0,1
64,40,26,千代田区,3,0,1
70,30,2,千代田区,2,0,1
95,40,2,千代田区,2,0,1
130,55,14,千代田区,3,0,1
140,45,0,千代田区,3,0,1
99,45,9,千代田区,2,0,1
85,45,20,千代田区,4,0,1
120,60,8,千代田区,2,0,1
110,40,9,千代田区,1,0,1
270,85,3,千代田区,4,0,1
140,45,7,千代田区,1,1,1
23,25,44,千代田区,1,0,1
590,115,2,千代田区,8,0,1
22,25,40,千代田区,5,0,1
47,40,56,千代田区,7,0,1
36,30,20,千代田区,5,0,1
82,55,44,千代田区,2,0,1
25,25,44,千代田区,2,0,1
56,35,29,千代田区,3,0,1
230,75,27,千代田区,2,0,1
170,75,48,千代田区,4,0,1
96,40,7,千代田区,5,0,1
20,20,47,千代田区,6,0,1
240,70,13,千代田区,3,0,1
20,15,49,千代田区,3,0,1
57,30,9,千代田区,5,0,1
150,70,23,千代田区,8,0,1
78,45,7,千代田区,6,0,1
100,60,20,千代田区,5,0,1
76,40,11,千代田区,2,0,1
60,35,11,千代田区,3,0,1
17,25,45,千代田区,4,0,1
40,25,7,千代田区,6,0,1
63,40,28,千代田区,3,0,1
85,40,13,千代田区,3,1,1
67,45,44,千代田区,2,0,1
140,55,23,千代田区,4,0,1
73,35,13,千代田区,4,0,1
230,65,5,千代田区,2,0,1
100,55,23,千代田区,5,0,1
300,85,25,千代田区,3,0,1
340,85,15,千代田区,3,0,1
350,95,15,千代田区,3,0,1
110,60,49,千代田区,2,0,1
87,45,13,千代田区,5,0,1
220,65,8,千代田区,3,0,1
58,65,47,千代田区,2,0,1
49,45,10,千代田区,1,0,1
130,60,8,千代田区,4,0,1
180,70,8,千代田区,4,0,1
320,100,22,千代田区,5,0,1
130,60,7,千代田区,6,0,1
18,25,45,中央区,15,0,0
160,75,10,中央区,1,0,0
70,65,26,中央区,4,0,0
50,55,46,中央区,3,0,0
33,35,20,中央区,1,0,0
78,40,3,中央区,3,0,0
60,50,3,中央区,3,0,0
47,40,15,中央区,3,0,0
64,60,40,中央区,2,0,0
24,25,23,中央区,4,0,0
29,30,27,中央区,2,0,0
96,55,16,中央区,4,0,0
27,25,17,中央区,3,0,0
78,40,12,中央区,2,0,0
31,25,17,中央区,4,0,0
73,45,20,中央区,1,0,0
95,45,5,中央区,3,0,0
110,55,14,中央区,4,0,0
78,40,17,中央区,1,0,0
92,55,20,中央区,1,0,0
26,20,22,中央区,3,0,0
94,65,7,中央区,1,0,0
59,40,6,中央区,2,0,0
63,45,7,中央区,1,0,0
130,70,7,中央区,1,0,0
120,60,7,中央区,3,0,0
59,40,17,中央区,3,1,0
34,25,23,中央区,4,0,0
78,55,19,中央区,4,0,0
130,60,9,中央区,4,0,0
130,70,11,中央区,4,0,0
92,60,11,中央区,4,0,0
13,25,45,中央区,3,0,0
130,75,6,中央区,12,0,0
130,80,2,中央区,19,0,0
100,65,9,中央区,14,0,0
