Price,Size,District,Tenure,Distance,RoomNumber,RoomK,RoomD,RoomL,Kenpei,Youseki,Reform,year_2024
94,40,千代田,3,3,1,1,1,0,60,400,0,1
130,65,千代田,21,4,2,1,1,1,80,500,0,1
330,95,千代田,5,3,3,1,1,1,80,500,0,1
200,80,千代田,23,3,2,1,1,1,80,500,0,1
430,105,千代田,8,3,2,1,1,1,60,400,0,1
120,60,千代田,45,1,2,1,1,1,80,600,1,1
120,80,千代田,52,3,3,1,1,1,60,400,0,1
26,20,千代田,20,4,1,1,0,0,80,800,0,1
34,30,千代田,18,3,1,1,0,0,80,500,1,1
25,20,千代田,21,4,1,1,0,0,80,600,0,1
30,20,千代田,18,2,1,1,0,0,80,700,0,1
32,20,千代田,18,2,1,1,0,0,80,600,0,1
25,20,千代田,23,5,1,1,0,0,80,600,0,1
51,25,千代田,2,4,1,1,0,0,80,800,0,1
220,75,千代田,2,4,3,1,1,1,80,800,1,1
27,20,千代田,17,5,1,1,0,0,80,600,0,1
120,50,千代田,5,5,1,1,1,1,80,600,0,1
19,15,千代田,45,6,1,0,0,0,80,700,1,1
16,15,千代田,42,4,1,1,0,0,80,500,0,1
54,45,千代田,21,4,1,1,1,1,80,800,0,1
120,60,千代田,8,5,2,1,1,1,80,600,1,1
130,55,千代田,8,3,1,1,1,1,80,600,0,1
48,40,千代田,15,6,2,1,1,0,80,600,0,1
36,25,千代田,15,6,1,1,0,0,80,600,0,1
140,70,千代田,6,5,2,1,1,0,80,600,1,1
110,50,千代田,21,1,1,1,1,1,80,600,0,1
46,25,千代田,1,2,1,1,0,0,80,500,0,1
160,65,千代田,21,1,2,1,1,1,80,600,0,1
100,50,千代田,21,1,1,1,1,1,80,600,0,1
18,20,千代田,42,2,1,1,0,0,80,600,1,1
23,20,千代田,20,1,1,1,0,0,80,800,1,1
15,15,千代田,47,1,1,1,0,0,80,500,0,1
15,15,千代田,47,1,1,1,0,0,80,500,0,1
27,25,千代田,19,3,1,1,0,0,80,600,0,1
37,30,千代田,19,4,1,1,0,0,80,600,0,1
33,20,千代田,21,6,1,1,0,0,80,600,1,1
100,50,千代田,18,2,1,1,1,1,80,600,0,1
220,65,千代田,9,2,3,1,1,1,80,500,1,1
33,25,千代田,12,2,1,1,0,0,80,500,0,1
32,30,千代田,39,2,1,1,1,1,80,700,0,1
27,20,千代田,21,6,1,1,0,0,80,500,1,1
170,60,千代田,16,4,2,1,1,1,80,500,1,1
86,60,千代田,24,8,2,1,1,1,80,500,0,1
36,25,千代田,12,5,1,1,0,0,60,400,0,1
18,15,千代田,42,2,1,1,0,0,80,700,0,1
75,55,千代田,42,1,2,1,1,1,80,700,1,1
90,70,千代田,42,1,3,1,1,1,80,700,0,1
140,80,千代田,33,1,3,1,1,1,80,600,0,1
89,40,千代田,5,2,1,1,1,1,80,800,0,1
66,75,千代田,53,3,3,1,0,0,60,400,0,1
220,70,千代田,7,4,2,1,1,1,80,500,0,1
32,25,千代田,53,6,1,1,0,0,60,400,1,1
25,20,千代田,21,4,1,1,1,0,80,500,0,1
37,35,千代田,53,6,1,1,0,0,60,400,1,1
270,80,千代田,7,4,2,1,1,0,80,500,1,1
20,15,千代田,38,5,1,1,0,0,80,500,0,1
320,105,千代田,16,3,2,1,1,1,80,500,0,1
130,70,千代田,20,5,2,1,1,1,80,800,0,1
36,30,千代田,19,2,1,1,1,1,80,600,0,1
33,20,千代田,10,6,1,1,0,0,80,600,0,1
33,30,千代田,10,6,1,1,0,0,80,600,0,1
21,20,千代田,24,3,1,1,0,0,80,600,0,1
24,20,千代田,19,2,1,1,0,0,80,600,0,1
280,105,千代田,47,3,2,1,1,1,80,500,1,1
190,70,千代田,16,2,2,1,1,1,80,500,1,1
33,20,千代田,23,4,1,1,0,0,80,500,0,1
65,40,千代田,41,2,2,1,1,0,80,600,1,1
22,20,千代田,20,3,1,1,0,0,80,500,0,1
70,50,千代田,11,3,2,1,1,1,80,500,0,1
55,45,千代田,17,2,1,1,1,1,80,500,0,1
24,20,千代田,23,3,1,1,0,0,80,500,0,1
26,20,千代田,19,4,1,1,0,0,80,700,0,1
27,20,千代田,20,4,1,1,0,0,80,500,0,1
80,55,千代田,12,3,2,1,1,0,80,600,0,1
30,40,千代田,43,4,1,1,1,0,80,700,0,1
27,20,千代田,20,4,1,1,0,0,80,500,0,1
100,70,千代田,45,7,2,1,1,1,60,400,1,1
38,45,千代田,45,7,1,1,1,1,60,400,0,1
150,65,千代田,10,3,2,1,1,1,60,400,0,1
190,85,千代田,11,2,3,1,1,1,80,500,0,1
300,90,千代田,21,4,3,1,1,1,60,400,1,1
170,60,千代田,19,3,2,1,1,1,60,400,1,1
190,80,千代田,23,5,2,1,1,1,60,400,0,1
380,105,千代田,7,5,2,1,1,1,80,400,0,1
250,85,千代田,7,5,2,1,1,1,80,400,0,1
56,50,中央,39,4,2,1,1,1,60,400,1,1
150,65,中央,6,2,3,1,1,1,60,400,0,1
16,20,中央,46,6,1,1,0,0,60,400,0,1
77,50,中央,20,4,1,1,1,1,60,400,0,1
57,55,中央,25,9,1,1,1,1,60,400,0,1
26,15,中央,22,3,1,1,0,0,80,500,0,1
25,20,中央,22,3,1,1,0,0,80,500,0,1
27,20,中央,21,2,1,1,0,0,80,700,0,1
26,20,中央,22,3,1,1,0,0,80,500,0,1
68,55,中央,24,4,1,1,1,1,80,500,0,1
98,70,中央,16,6,2,1,1,1,80,500,0,1
86,70,中央,8,6,3,1,1,1,80,500,0,1
66,60,中央,21,4,2,1,1,1,80,400,0,1
90,50,中央,14,1,1,1,1,1,80,600,0,1
75,55,中央,12,3,2,1,1,1,80,600,0,1
29,20,中央,22,5,1,1,0,0,80,400,0,1
36,25,中央,9,3,1,1,0,0,80,600,0,1
220,95,中央,1,2,3,1,1,1,80,400,0,1
180,85,中央,8,6,2,1,1,1,80,500,0,1
110,80,中央,16,6,3,1,1,1,80,500,0,1
73,40,中央,8,6,1,1,1,1,80,500,0,1
80,65,中央,16,6,1,1,1,1,80,500,0,1
27,30,中央,51,10,1,1,1,0,60,400,0,1
89,70,中央,22,4,3,1,1,1,80,400,1,1
140,70,中央,8,6,2,1,1,1,80,500,0,1
200,75,中央,1,4,3,1,1,1,80,400,0,1
82,65,中央,17,8,2,1,1,1,60,400,0,1
43,30,中央,3,9,1,1,1,1,60,400,0,1
130,60,中央,1,4,2,1,1,1,80,400,0,1
200,55,中央,12,3,2,1,1,1,80,600,1,1
130,80,中央,16,6,3,1,1,1,80,500,0,1
170,100,中央,16,6,3,1,1,1,80,500,0,1
180,75,中央,1,4,3,1,1,1,80,400,0,1
100,55,中央,8,6,2,1,1,1,80,500,0,1
120,80,中央,16,6,3,1,1,1,80,500,0,1
83,65,中央,8,6,1,1,1,0,80,500,0,1
76,40,中央,1,2,1,1,1,1,80,400,1,1
22,20,中央,21,3,1,1,0,0,80,600,0,1
220,85,中央,1,4,3,1,1,1,80,400,0,1
75,50,中央,8,6,1,1,0,0,80,500,0,1
46,50,中央,21,4,1,1,1,0,80,400,0,1
80,55,中央,8,6,1,1,1,1,80,500,0,1
80,55,中央,8,6,1,1,1,1,80,500,0,1
220,105,中央,16,6,3,1,1,1,80,500,0,1
82,60,中央,17,8,3,1,1,1,60,400,1,1
180,85,中央,8,6,2,1,1,1,80,500,1,1
42,40,中央,16,4,1,1,1,1,80,400,1,1
32,55,中央,52,3,2,1,1,0,80,400,0,1
32,55,中央,52,3,2,1,1,1,80,400,0,1
100,50,中央,1,2,1,1,1,1,80,400,0,1
170,105,中央,16,6,2,1,1,1,80,500,0,1
33,20,中央,20,6,1,1,0,0,80,800,0,1
41,30,中央,25,3,1,1,0,0,80,700,0,1
35,20,中央,20,3,1,1,0,0,80,700,0,1
35,20,中央,20,3,1,1,0,0,80,700,0,1
59,35,中央,20,2,1,1,1,1,80,600,0,1
120,50,中央,22,1,2,1,1,1,80,600,1,1
69,30,中央,22,1,1,1,1,1,80,600,1,1
71,55,中央,21,3,2,1,1,1,80,600,0,1
22,25,中央,12,7,1,1,0,0,80,500,0,1
100,90,中央,26,9,3,1,1,1,80,700,1,1
15,20,中央,47,3,1,1,0,0,80,500,0,1
20,35,中央,46,8,1,1,1,0,80,700,1,1
27,20,中央,22,4,1,1,0,0,80,500,1,1
85,65,中央,22,5,1,1,1,1,80,500,0,1
24,20,中央,25,7,1,1,1,0,80,700,0,1
93,50,中央,5,5,2,1,1,1,80,500,0,1
52,35,中央,20,4,1,1,1,1,80,500,0,1
78,50,中央,5,5,1,1,1,1,80,500,0,1
25,20,中央,19,7,1,1,0,0,80,500,0,1
29,25,中央,12,7,1,1,0,0,80,700,0,1
47,30,中央,26,1,1,1,1,1,80,600,1,1
56,40,中央,17,3,1,1,1,1,80,600,0,1
140,70,中央,23,3,3,1,1,1,80,600,1,1
200,85,中央,11,3,2,1,1,1,80,600,0,1
45,40,中央,26,1,1,1,1,1,80,600,0,1
31,20,中央,20,2,1,1,0,0,80,600,0,1
130,55,中央,12,2,2,1,1,1,80,600,1,1
29,20,中央,17,1,1,1,0,0,80,600,1,1
22,20,中央,26,2,1,1,0,0,80,500,0,1
63,60,中央,42,7,2,1,1,1,80,500,1,1
48,45,中央,42,2,2,1,1,0,80,800,0,1
98,75,中央,24,5,3,1,1,1,80,500,0,1
59,40,中央,12,6,1,1,1,1,80,500,0,1
90,85,中央,19,3,3,1,1,1,80,500,0,1
80,35,中央,24,5,1,1,1,1,80,500,0,1
58,35,中央,7,1,1,1,1,1,80,700,0,1
23,20,中央,22,5,1,1,0,0,80,500,0,1
14,20,中央,45,3,1,1,0,0,80,600,0,1
28,25,中央,45,4,1,0,0,0,80,600,1,1
19,15,中央,45,4,1,1,0,0,80,600,1,1
18,25,中央,50,4,1,1,0,0,80,400,1,1
32,25,中央,20,6,1,1,0,0,80,400,0,1
20,15,中央,28,6,1,1,0,0,80,400,0,1
110,80,中央,21,1,3,1,1,1,80,500,0,1
29,20,中央,21,5,1,1,0,0,80,600,0,1
100,75,中央,21,5,3,1,1,1,80,600,0,1
100,75,中央,21,5,2,1,1,1,80,600,0,1
68,40,中央,13,3,1,1,1,1,80,400,0,1
51,35,中央,21,3,1,1,1,0,80,600,1,1
140,70,中央,4,2,3,1,1,1,80,500,0,1
80,50,中央,16,4,2,1,1,1,80,600,0,1
83,55,中央,21,1,1,1,1,1,80,500,0,1
26,20,中央,21,1,1,1,0,0,80,600,0,1
78,40,中央,9,1,1,1,1,1,80,600,0,1
99,70,中央,21,1,2,1,1,1,80,500,0,1
91,55,中央,9,1,2,1,1,1,80,600,0,1
170,80,中央,4,2,3,1,1,1,80,500,0,1
110,55,中央,4,2,1,1,1,1,80,500,0,1
60,45,中央,12,4,1,1,1,1,80,500,0,1
54,35,中央,18,1,1,1,1,1,80,600,0,1
110,75,中央,33,7,2,1,1,1,60,400,1,1
180,80,中央,25,9,3,1,1,1,80,600,1,1
67,55,中央,18,1,2,1,1,0,80,600,1,1
36,25,中央,11,1,1,1,0,0,80,400,1,1
160,100,中央,31,8,3,1,1,1,60,400,0,1
130,70,中央,25,9,2,1,1,1,80,600,1,1
56,35,中央,22,1,1,1,1,0,80,600,1,1
130,70,中央,24,4,3,1,1,1,80,400,1,1
82,55,中央,16,1,2,1,1,1,80,600,0,1
80,60,中央,31,8,1,1,1,1,60,400,0,1
78,55,中央,13,2,2,1,1,1,80,600,0,1
85,60,中央,13,1,3,1,1,1,80,400,0,1
35,50,中央,51,3,2,1,1,0,80,600,1,1
52,35,中央,33,7,1,1,1,1,60,400,1,1
60,50,中央,6,2,2,1,1,1,80,400,1,1
100,70,中央,8,3,3,1,1,1,80,400,0,1
67,50,中央,20,3,1,1,1,1,80,400,0,1
83,55,中央,22,1,1,1,1,1,80,600,1,1
27,20,中央,22,1,1,1,0,0,80,600,0,1
26,20,中央,17,2,1,1,0,0,80,600,0,1
90,55,中央,20,2,2,1,1,1,80,600,1,1
23,20,中央,21,2,1,1,0,0,80,600,0,1
25,20,中央,21,3,1,1,0,0,80,600,0,1
27,30,中央,14,3,1,1,1,0,80,500,0,1
67,40,中央,12,2,1,1,1,1,80,500,0,1
15,25,中央,42,2,1,1,0,0,80,700,0,1
23,15,中央,25,4,1,1,1,0,80,500,1,1
70,60,中央,19,1,2,1,1,1,80,700,0,1
22,25,中央,26,2,1,1,0,0,80,700,1,1
38,40,中央,23,2,1,1,1,1,80,500,1,1
55,30,中央,2,3,1,1,1,1,80,700,0,1
100,65,中央,24,2,2,1,1,1,80,700,0,1
