Year,Type,Title,D,Y
44049,一般,新型コロナ対策としてのマスク着用義務化――アメリカの政策評価と日本への示唆,1,44049
44273,一般,現状放置なら５月下旬に緊急事態宣言の恐れ,1,44273
44105,一般,接触確認アプリCOCOAを行動経済学で読み解く,1,44105
44274,一般,新型コロナ対策がもたらす効果の定量的分析～緊急事態宣言解除後のシナリオとは？～,1,44274
44028,一般,新型コロナ危機と経済政策,1,44028
44232,一般,感染症データにおける「従属性」と因果推論,1,44232
44018,一般,「疫学」と「マクロ経済学」の視点から ―最新論文に見る感染症対策と経済活動維持の最適解とは―,1,44018
43929,一般,コロナ危機は需要ショックなのか供給ショックなのか？,1,43929
44029,一般,コロナ危機の経済学 : 提言と分析,1,44029
44044,一般,新型コロナウイルスのマクロ経済学 (1) 感染症拡大防止政策のトレードオフ,1,44044
44105,一般,新型コロナウイルスのマクロ経済学 (2) 実体経済への影響と日本を含むG20先進国の政策対応,1,44105
43952,一般,特別号・新型コロナウィルス感染症の経済学,1,43952
43928,一般,コロナ禍の経済対策：社会的離隔・外部性・デジタル化,1,43928
44229,一般,新型コロナと経済活動：緊急事態宣言解除基準の考察,1,44229
44311,一般,コロナショックの経済学,1,44311
43923,一般,POSでみるコロナ禍の購買動向：品目分析編,1,43923
43937,一般,POSでみるコロナ禍の購買動向：業態分析編,1,43937
43949,一般,POSでみるコロナ禍の購買動向：家電量販店×地域分析編,1,43949
43969,一般,POSでみるコロナ禍の購買動向：食品・日用品×地域分析編,1,43969
44015,一般,POSでみるコロナ禍の購買動向：緊急事態宣言解除後編,1,44015
44028,一般,宿泊業・飲食サービス業への新型コロナの影響をどう軽減すべきか？,1,44028
43952,一般,新型コロナショックと東日本大震災に対する消費・物価の反応,1,43952
44223,一般,COVID-19 stimulus payments: Evidence from bank transaction data in Japan,1,44223
44041,一般,新型コロナ後の国際貿易,1,44041
44013,一般,金融円滑化法 コロナ危機で問われる事業性評価の力 : 金融円滑化法の教訓を生かせ,1,44013
44018,一般,The COVID-19 Crisis: Policy Recommendations for Japan,1,44018
44022,一般,【半歩先を読む経済教室】待ち受ける「コロナ対応で発生した債務処理」と「財政健全化」という2つの難題,1,44022
44124,一般,新型コロナウイルス対策特別会計(仮称)の設置を,1,44124
44043,一般,PCR検査体制の拡充と偽陽性の問題,1,44043
44296,一般,コロナワクチン接種開始：希望者の揺れる心にケアを,1,44296
44021,一般,新型コロナウイルスの感染拡大と妊娠・出産への影響 ~危機後のベビーブームは「都市伝説」なのか?~,1,44021
44232,一般,65歳未満を対象としたワクチン接種の大規模なRCTを行えないか？,1,44232
44070,一般,コロナ禍における医療機関への経済支援の在り方と今後の医療提供体制,1,44070
44209,一般,COVID-19ワクチンの配布計画とマッチング・マーケットデザイン,1,44209
44004,一般,"COVID-19, mental health, and domestic violence: Evidence from Japan",1,44004
44123,一般,新型コロナは教育格差にどのような影響を及ぼしたのか？,1,44123
44033,一般,コロナショックと教育・経済格差についての考察,1,44033
44287,一般,コロナ禍のもとでの小中学校の休校とICT利用：日英比較から,1,44287
43963,一般,COVID-19が求職・求人マッチングに及ぼす影響,1,43963
43959,一般,新型コロナ（COVID-19）危機が引き起こす格差の拡大,1,43959
44230,一般,新型コロナウイルス流行下（2020年2～9月）の企業業績と雇用―「第2回新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」二次分析―,1,44230
44166,一般,新型コロナ影響下の雇用減少と雇用調整速度の国際比較,1,44166
44064,一般,2～5月の新型コロナウイルス流行下の企業業績と採用・雇用維持―「新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」の二次分析―,1,44064
44099,一般,コロナショックの被害は女性に集中（続編）―雇用回復の男女格差―,1,44099
44043,一般,低い申請者割合にとどまるコロナ困窮者支援事業,1,44043
44008,一般,コロナショックの被害は女性に集中―働き方改革でピンチをチャンスに―,1,44008
43931,一般,"COVID-19, teleworking, and productivity",1,43931
44105,一般,新型コロナウイルスが関西のスポーツ関連産業に与える影響,1,44105
43969,一般,感染拡大を防ぐ行動制限のトレードオフ――Google位置情報と倒産履歴から探る経済的影響,1,43969
44252,一般,Firm exit patterns and the post-Covid cleansing mechanism: Evidence from Japan,1,44252
44222,一般,Quantifying the impact of the COVID-19 pandemic on firms' default probability in Japan,1,44222
44105,一般,感染症の歴史,1,44105
44054,一般,感染症と経済学,1,44054
44039,一般,新型コロナ感染症拡大で考える東京への人口一極集中とコロナ後の変化,1,44039
43966,一般,コロナゲームはタカハトゲーム？,1,43966
44228,専門,緊急事態宣言、ステージIIまで継続を,0,44228
44061,専門,日本の新型コロナウイルス感染症拡大の現状と感染リスク,0,44061
44256,専門,HJKモデルに基づいたCOVID-19の経済的評価　ー日本における感染の第1期を対象としてー,0,44256
44470,専門,Trade-off between job losses and the spread of COVID-19 in Japan,0,44470
44621,専門,Convergent movement of COVID-19 outbreak in Japan based on SIR model,0,44621
44562,専門,Health and Public Health Implications of COVID-19 in Asian Countries,0,44562
44393,専門,COVID-19 Infection Spread and Human Mobility,0,44393
44256,専門,Modeling and Simulation on the COVID-19 Infection: Preliminary Result,0,44256
44197,専門,A Cross-Country Analysis of the Determinants of Covid-19 Fatalities,0,44197
44587,専門,Feasible Panel GARCH Models: Variance-Targeting Estimation and Empirical Application,0,44587
44509,専門,Conditional Threshold Autoregression (CoTAR),0,44509
44027,専門,世代別・性別の 外出率とCOVID-19陽性者割合との関係,0,44027
44215,専門,新型コロナウイルス感染拡大に対応した外出抑制措置の影響～ビッグデータを活用した分析の現状～,0,44215
44143,専門,新型コロナウィルス感染症の予防行動へのナッジの効果：スマートフォン広告を用いた大規模無作為化対照実験から,0,44143
44228,専門,The bright and dark sides of social media usage during the COVID-19 pandemic: Survey evidence from Japan,0,44228
44136,専門,Social distancing as a public good under the COVID-19 pandemic,0,44136
44197,専門,"Causal impact of masks, policies, behavior on early covid-19 pandemic in the U.S.",0,44197
44440,専門,"Modeling the effects of contact-tracing apps on the spread of the coronavirus disease: Mechanisms, conditions, and efficiency",0,44440
44378,専門,"The effectiveness of mobility control, shortening of restaurants’ opening hours, and working from home on control of COVID-19 spread in Japan",0,44378
44378,専門,Unmasking the demand for masks: Analytics of mandating coronavirus masks,0,44378
44075,専門,Does Lockdown Policy Reduce Human Activity?,0,44075
44378,専門,How effective was the restaurant restraining order against COVID-19? A nighttime light study in Japan,0,44378
44108,専門,COVID-19 Enhanced Diminishing Sensitivity in Prospect-Theory Risk Preferences: A Panel Analysis,0,44108
