Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area,Group,ResY,ResD
53,2015,2021,1,6,40,4,0,CBD,CBD,40_CBD_4_6,-1.105618707697431e-9,-1.2970957641300629e-11
27,2006,2021,1,15,25,2,0,CBD,CBD,25_CBD_2_15,1.9999999932045398,-0.5000000000149432
49,2013,2021,1,8,50,5,0,CBD,CBD,50_CBD_5_8,-5.494619870205497e-9,-5.016942417057635e-11
71,2005,2021,1,16,75,3,0,CBD,CBD,75_CBD_3_16,-4.1609240497564315e-9,-3.70456998410873e-11
22,1980,2021,1,41,30,1,0,CBD,CBD,30_CBD_1_41,-2.500000005895572,-0.5000000000520564
47,1981,2021,1,40,60,4,0,CBD,CBD,60_CBD_4_40,1.499999998806338,-0.500000000014674
170,2014,2021,1,7,65,3,0,CBD,CBD,65_CBD_3_7,-4.7756429921719246e-9,-4.569966627343547e-11
44,2012,2021,1,9,35,2,0,CBD,CBD,35_CBD_2_9,4.6277648380055325e-11,5.378586465099033e-12
56,2003,2021,1,18,60,6,0,CBD,CBD,60_CBD_6_18,-12.000000005474817,-5.03384001149243e-11
18,1982,2021,1,39,25,2,0,CBD,CBD,25_CBD_2_39,1.4999999996708553,1.8630874620839677e-11
15,1982,2021,1,39,25,2,0,CBD,CBD,25_CBD_2_39,-1.5000000003291447,1.8630874620839677e-11
45,2007,2021,1,14,40,2,0,CBD,CBD,40_CBD_2_14,-6.053710421838332e-9,-5.051381535281507e-11
60,2006,2021,1,15,45,4,0,CBD,CBD,45_CBD_4_15,-4.39369784999144e-9,-4.056355251691457e-11
24,2005,2021,1,16,25,1,0,CBD,CBD,25_CBD_1_16,-5.1290101055201376e-9,-5.0099480120024964e-11
31,2000,2021,1,21,30,3,0,CBD,CBD,30_CBD_3_21,-3.7623948401233065e-10,-5.5144777633131525e-12
31,2005,2021,1,16,30,6,0,CBD,CBD,30_CBD_6_16,-6.272216523939278e-9,-4.170663814306863e-11
23,1977,2021,1,44,25,6,0,CBD,CBD,25_CBD_6_44,-2.3098323254089337e-10,1.9753976232550485e-11
140,2004,2021,1,17,90,1,0,CBD,CBD,90_CBD_1_17,-3.781792656809557e-9,-3.307176754674401e-11
65,2004,2021,1,17,45,1,0,CBD,CBD,45_CBD_1_17,10.999999998389008,-1.6251222589858116e-11
