Y,D,Title
44049,1,新型コロナ対策としてのマスク着用義務化――アメリカの政策評価と日本への示唆
44273,1,現状放置なら５月下旬に緊急事態宣言の恐れ
44105,1,接触確認アプリCOCOAを行動経済学で読み解く
44274,1,新型コロナ対策がもたらす効果の定量的分析～緊急事態宣言解除後のシナリオとは？～
44028,1,新型コロナ危機と経済政策
44232,1,感染症データにおける「従属性」と因果推論
44018,1,「疫学」と「マクロ経済学」の視点から ―最新論文に見る感染症対策と経済活動維持の最適解とは―
43929,1,コロナ危機は需要ショックなのか供給ショックなのか？
44029,1,コロナ危機の経済学 : 提言と分析
44044,1,新型コロナウイルスのマクロ経済学 (1) 感染症拡大防止政策のトレードオフ
44105,1,新型コロナウイルスのマクロ経済学 (2) 実体経済への影響と日本を含むG20先進国の政策対応
43952,1,特別号・新型コロナウィルス感染症の経済学
43928,1,コロナ禍の経済対策：社会的離隔・外部性・デジタル化
44229,1,新型コロナと経済活動：緊急事態宣言解除基準の考察
44311,1,コロナショックの経済学
43923,1,POSでみるコロナ禍の購買動向：品目分析編
43937,1,POSでみるコロナ禍の購買動向：業態分析編
43949,1,POSでみるコロナ禍の購買動向：家電量販店×地域分析編
43969,1,POSでみるコロナ禍の購買動向：食品・日用品×地域分析編
44015,1,POSでみるコロナ禍の購買動向：緊急事態宣言解除後編
44028,1,宿泊業・飲食サービス業への新型コロナの影響をどう軽減すべきか？
43952,1,新型コロナショックと東日本大震災に対する消費・物価の反応
44223,1,COVID-19 stimulus payments: Evidence from bank transaction data in Japan
44041,1,新型コロナ後の国際貿易
44013,1,金融円滑化法 コロナ危機で問われる事業性評価の力 : 金融円滑化法の教訓を生かせ
44018,1,The COVID-19 Crisis: Policy Recommendations for Japan
44022,1,【半歩先を読む経済教室】待ち受ける「コロナ対応で発生した債務処理」と「財政健全化」という2つの難題
44124,1,新型コロナウイルス対策特別会計(仮称)の設置を
44043,1,PCR検査体制の拡充と偽陽性の問題
44296,1,コロナワクチン接種開始：希望者の揺れる心にケアを
44021,1,新型コロナウイルスの感染拡大と妊娠・出産への影響 ~危機後のベビーブームは「都市伝説」なのか?~
44232,1,65歳未満を対象としたワクチン接種の大規模なRCTを行えないか？
44070,1,コロナ禍における医療機関への経済支援の在り方と今後の医療提供体制
44209,1,COVID-19ワクチンの配布計画とマッチング・マーケットデザイン
44004,1,"COVID-19, mental health, and domestic violence: Evidence from Japan"
44123,1,新型コロナは教育格差にどのような影響を及ぼしたのか？
44033,1,コロナショックと教育・経済格差についての考察
44287,1,コロナ禍のもとでの小中学校の休校とICT利用：日英比較から
43963,1,COVID-19が求職・求人マッチングに及ぼす影響
43959,1,新型コロナ（COVID-19）危機が引き起こす格差の拡大
44230,1,新型コロナウイルス流行下（2020年2～9月）の企業業績と雇用―「第2回新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」二次分析―
44166,1,新型コロナ影響下の雇用減少と雇用調整速度の国際比較
44064,1,2～5月の新型コロナウイルス流行下の企業業績と採用・雇用維持―「新型コロナウイルス感染症が企業経営に及ぼす影響に関する調査」の二次分析―
44099,1,コロナショックの被害は女性に集中（続編）―雇用回復の男女格差―
44043,1,低い申請者割合にとどまるコロナ困窮者支援事業
44008,1,コロナショックの被害は女性に集中―働き方改革でピンチをチャンスに―
43931,1,"COVID-19, teleworking, and productivity"
44105,1,新型コロナウイルスが関西のスポーツ関連産業に与える影響
43969,1,感染拡大を防ぐ行動制限のトレードオフ――Google位置情報と倒産履歴から探る経済的影響
44252,1,Firm exit patterns and the post-Covid cleansing mechanism: Evidence from Japan
44222,1,Quantifying the impact of the COVID-19 pandemic on firms' default probability in Japan
44105,1,感染症の歴史
44054,1,感染症と経済学
44039,1,新型コロナ感染症拡大で考える東京への人口一極集中とコロナ後の変化
43966,1,コロナゲームはタカハトゲーム？
44228,0,緊急事態宣言、ステージIIまで継続を
44061,0,日本の新型コロナウイルス感染症拡大の現状と感染リスク
44256,0,HJKモデルに基づいたCOVID-19の経済的評価　ー日本における感染の第1期を対象としてー
44470,0,Trade-off between job losses and the spread of COVID-19 in Japan
44621,0,Convergent movement of COVID-19 outbreak in Japan based on SIR model
44562,0,Health and Public Health Implications of COVID-19 in Asian Countries
44393,0,COVID-19 Infection Spread and Human Mobility
44256,0,Modeling and Simulation on the COVID-19 Infection: Preliminary Result
44197,0,A Cross-Country Analysis of the Determinants of Covid-19 Fatalities
44587,0,Feasible Panel GARCH Models: Variance-Targeting Estimation and Empirical Application
44509,0,Conditional Threshold Autoregression (CoTAR)
44027,0,世代別・性別の 外出率とCOVID-19陽性者割合との関係
44215,0,新型コロナウイルス感染拡大に対応した外出抑制措置の影響～ビッグデータを活用した分析の現状～
